locus_SNP	locus	gRNA	cisGene	logFC	logCPM	empiricalP	empiricalFDR
rs324015	STAT6	STAT6_1_gene	OS9	-0.252	7.17	0.402	0.997
rs324015	STAT6	STAT6_1_gene	CDK4	0.0131	8.79	0.93	0.998
rs324015	STAT6	STAT6_1_gene	METTL1	-0.283	6.61	0.403	0.997
rs324015	STAT6	STAT6_1_gene	CTDSP2	0.373	6.69	0.303	0.997
rs324015	STAT6	STAT6_2_gene	NABP2	-0.0103	7.45	0.96	0.997
rs324015	STAT6	STAT6_2_gene	BAZ2A	0.102	6.81	0.712	0.997
rs324015	STAT6	STAT6_2_gene	LRP1	-0.287	6.57	0.362	0.991
rs324015	STAT6	STAT6_2_gene	DCTN2	-0.00132	8.15	0.992	0.999
rs324015	STAT6	STAT6_2_gene	TSFM	-0.23	6.86	0.361	0.991
rs324015	STAT6	STAT6_2_gene	PA2G4	-0.157	8.66	0.287	0.978
rs324015	STAT6	STAT6_2_gene	RPL41	-0.0305	13.3	0.736	0.997
rs324015	STAT6	STAT6_2_gene	ESYT1	-0.167	6.66	0.575	0.997
rs324015	STAT6	STAT6_2_gene	MYL6B	-0.257	8.06	0.103	0.967
rs324015	STAT6	STAT6_2_gene	MYL6	0.104	10.7	0.381	0.997
rs324015	STAT6	STAT6_2_gene	SMARCC2	-0.269	6.89	0.328	0.99
rs324015	STAT6	STAT6_2_gene	RNF41	-0.156	6.75	0.597	0.997
rs324015	STAT6	STAT6_2_gene	COQ10A	0.661	6.56	0.0524	0.927
rs324015	STAT6	STAT6_2_gene	CS	-0.0415	7.14	0.868	0.997
rs324015	STAT6	STAT6_2_gene	CNPY2	-0.142	8.09	0.361	0.991
rs324015	STAT6	STAT6_2_gene	TIMELESS	0.183	6.76	0.55	0.997
rs324015	STAT6	STAT6_2_gene	MIP	-0.059	6.53	0.849	0.997
rs324015	STAT6	STAT6_2_gene	SPRYD4	0.218	6.63	0.486	0.997
rs324015	STAT6	STAT6_2_gene	PTGES3	-0.0685	9.33	0.549	0.997
rs324015	STAT6	STAT6_2_gene	NACA	0.0268	11.4	0.722	0.997
rs324015	STAT6	STAT6_2_gene	PRIM1	0.161	6.6	0.632	0.997
rs324015	STAT6	STAT6_2_gene	NAB2	0.261	6.73	0.421	0.997
rs324015	STAT6	STAT6_2_gene	SHMT2	-0.108	7.53	0.676	0.997
rs324015	STAT6	STAT6_2_gene	MARS	0.0962	7.2	0.71	0.997
rs324015	STAT6	STAT6_2_gene	DDIT3	-0.303	7.22	0.387	0.997
rs324015	STAT6	STAT6_2_gene	DTX3	-0.33	6.59	0.306	0.989
rs324015	STAT6	STAT6_2_gene	OS9	-0.569	7.25	0.0278	0.916
rs324015	STAT6	STAT6_2_gene	CDK4	0.0679	8.79	0.63	0.997
rs324015	STAT6	STAT6_2_gene	METTL1	-0.11	6.63	0.712	0.997
rs324015	STAT6	STAT6_2_gene	CTDSP2	0.404	6.71	0.2	0.967
rs324015	STAT6	STAT6_3_gene	NABP2	0.0852	7.42	0.656	0.995
rs324015	STAT6	STAT6_3_gene	BAZ2A	0.0433	6.8	0.85	0.995
rs324015	STAT6	STAT6_3_gene	LRP1	0.445	6.51	0.134	0.995
rs324015	STAT6	STAT6_3_gene	DCTN2	0.0399	8.13	0.763	0.995
rs324015	STAT6	STAT6_3_gene	TSFM	-0.0165	6.83	0.945	0.998
rs324015	STAT6	STAT6_3_gene	PA2G4	-0.0505	8.63	0.687	0.995
rs324015	STAT6	STAT6_3_gene	RPL41	0.00259	13.3	0.971	0.998
rs324015	STAT6	STAT6_3_gene	ESYT1	-0.0585	6.65	0.815	0.995
rs324015	STAT6	STAT6_3_gene	MYL6B	-0.153	8.03	0.269	0.995
rs324015	STAT6	STAT6_3_gene	MYL6	-0.0168	10.8	0.86	0.995
rs324015	STAT6	STAT6_3_gene	SMARCC2	-0.214	6.88	0.355	0.995
rs324015	STAT6	STAT6_3_gene	RNF41	0.0237	6.72	0.929	0.998
rs324015	STAT6	STAT6_3_gene	COQ10A	0.441	6.55	0.114	0.995
rs324015	STAT6	STAT6_3_gene	CS	0.156	7.11	0.462	0.995
rs324015	STAT6	STAT6_3_gene	CNPY2	-0.0842	8.07	0.538	0.995
rs324015	STAT6	STAT6_3_gene	TIMELESS	0.0755	6.76	0.771	0.995
rs324015	STAT6	STAT6_3_gene	MIP	0.0116	6.51	0.96	0.998
rs324015	STAT6	STAT6_3_gene	SPRYD4	0.201	6.61	0.439	0.995
rs324015	STAT6	STAT6_3_gene	PTGES3	0.102	9.28	0.296	0.995
rs324015	STAT6	STAT6_3_gene	NACA	0.0141	11.4	0.832	0.995
rs324015	STAT6	STAT6_3_gene	PRIM1	-0.0213	6.6	0.938	0.998
rs324015	STAT6	STAT6_3_gene	NAB2	0.531	6.69	0.0666	0.995
rs324015	STAT6	STAT6_3_gene	SHMT2	-0.0392	7.51	0.851	0.995
rs324015	STAT6	STAT6_3_gene	MARS	-0.191	7.24	0.368	0.995
rs324015	STAT6	STAT6_3_gene	DDIT3	0.585	7.09	0.0739	0.995
rs324015	STAT6	STAT6_3_gene	DTX3	0.125	6.55	0.655	0.995
rs324015	STAT6	STAT6_3_gene	OS9	0.0133	7.16	0.955	0.998
rs324015	STAT6	STAT6_3_gene	CDK4	0.107	8.77	0.397	0.995
rs324015	STAT6	STAT6_3_gene	METTL1	-0.071	6.62	0.805	0.995
rs324015	STAT6	STAT6_3_gene	CTDSP2	0.125	6.72	0.622	0.995
rs9882911	TRANK1	TRANK1_1_gene	GOLGA4	-0.0804	6.97	0.916	0.999
rs9882911	TRANK1	TRANK1_1_gene	EPM2AIP1	-0.187	6.64	0.841	0.999
rs9882911	TRANK1	TRANK1_1_gene	MLH1	0.155	6.95	0.857	0.999
rs9882911	TRANK1	TRANK1_1_gene	LRRFIP2	1.05	6.78	0.366	0.999
rs9882911	TRANK1	TRANK1_2_gene	GOLGA4	0.216	6.94	0.538	1
rs9882911	TRANK1	TRANK1_2_gene	EPM2AIP1	0.365	6.6	0.392	1
rs9882911	TRANK1	TRANK1_2_gene	MLH1	0.244	6.92	0.469	1
rs9882911	TRANK1	TRANK1_2_gene	LRRFIP2	0.801	6.73	0.06	1
rs9882911	TRANK1	TRANK1_3_gene	GOLGA4	-0.0341	6.93	0.865	1
rs9882911	TRANK1	TRANK1_3_gene	EPM2AIP1	-0.182	6.61	0.467	1
rs9882911	TRANK1	TRANK1_3_gene	MLH1	-0.215	6.95	0.271	1
rs9882911	TRANK1	TRANK1_3_gene	LRRFIP2	-0.212	6.77	0.357	1
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	AKAP13	0.346	6.68	0.469	0.95
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	WDR73	0.251	7.16	0.482	0.95
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	ZSCAN2	-0.729	6.56	0.11	0.849
rs11633075	UBE2Q2P1	UBE2Q2P1_1_gene	SEC11A	-0.188	9.16	0.293	0.904
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	AKAP13	-0.165	6.73	0.763	0.985
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	WDR73	0.247	7.19	0.564	0.98
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	ZSCAN2	0.307	6.57	0.658	0.982
rs11633075	UBE2Q2P1	UBE2Q2P1_2_gene	SEC11A	0.23	9.15	0.329	0.957
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	AKAP13	0.411	6.7	0.429	0.997
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	WDR73	-0.254	7.21	0.457	0.997
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	ZSCAN2	1.48	6.54	0.0336	0.997
rs11633075	UBE2Q2P1	UBE2Q2P1_3_gene	SEC11A	0.392	9.13	0.0577	0.997
rs2027349	VPS45	VPS45_1_gene	VPS45	0.227	6.69	0.64	0.945
rs2027349	VPS45	VPS45_1_gene	RPRD2	-0.279	6.55	0.539	0.922
rs2027349	VPS45	VPS45_1_gene	ENSA	-0.0457	8.04	0.84	0.989
rs2027349	VPS45	VPS45_1_gene	SF3B4	0.116	7.67	0.675	0.957
rs2027349	VPS45	VPS45_1_gene	PLEKHO1	0.0721	7.31	0.845	0.99
rs2027349	VPS45	VPS45_1_gene	ANP32E	0.999	7.63	0.0143	0.477
rs2027349	VPS45	VPS45_1_gene	APH1A	-0.181	7.53	0.511	0.918
rs2027349	VPS45	VPS45_1_gene	MRPS21	0.0646	8.82	0.756	0.972
rs2027349	VPS45	VPS45_1_gene	PRPF3	-0.344	6.61	0.438	0.891
rs2027349	VPS45	VPS45_1_gene	MCL1	-0.465	7.28	0.144	0.744
rs2027349	VPS45	VPS45_1_gene	SETDB1	0.391	6.49	0.491	0.912
rs2027349	VPS45	VPS45_1_gene	CERS2	0.985	6.91	0.0461	0.577
rs2027349	VPS45	VPS45_1_gene	CDC42SE1	-0.0659	6.72	0.882	0.996
rs2027349	VPS45	VPS45_1_gene	MLLT11	0.2	8.58	0.526	0.922
rs2027349	VPS45	VPS45_2_gene	VPS45	0.693	6.64	0.0078	0.999
rs2027349	VPS45	VPS45_2_gene	RPRD2	-0.097	6.56	0.685	0.999
rs2027349	VPS45	VPS45_2_gene	ENSA	0.0698	8.02	0.556	0.999
rs2027349	VPS45	VPS45_2_gene	SF3B4	0.0212	7.69	0.865	0.999
rs2027349	VPS45	VPS45_2_gene	PLEKHO1	-0.0441	7.33	0.813	0.999
rs2027349	VPS45	VPS45_2_gene	ANP32E	0.109	7.66	0.53	0.999
rs2027349	VPS45	VPS45_2_gene	APH1A	-0.0229	7.53	0.864	0.999
rs2027349	VPS45	VPS45_2_gene	MRPS21	0.052	8.81	0.615	0.999
rs2027349	VPS45	VPS45_2_gene	PRPF3	-0.119	6.62	0.602	0.999
rs2027349	VPS45	VPS45_2_gene	MCL1	-0.0103	7.27	0.947	0.999
rs2027349	VPS45	VPS45_2_gene	SETDB1	-0.198	6.52	0.404	0.999
rs2027349	VPS45	VPS45_2_gene	CERS2	-0.0667	6.96	0.743	0.999
rs2027349	VPS45	VPS45_2_gene	CDC42SE1	0.147	6.71	0.529	0.999
rs2027349	VPS45	VPS45_2_gene	MLLT11	-0.49	8.79	0.00369	0.999
rs2027349	VPS45	VPS45_3_gene	VPS45	1.17	6.7	0.0888	0.879
rs2027349	VPS45	VPS45_3_gene	RPRD2	0.587	6.54	0.407	0.953
rs2027349	VPS45	VPS45_3_gene	ENSA	0.342	8.03	0.247	0.925
rs2027349	VPS45	VPS45_3_gene	SF3B4	1.31	7.65	0.00267	0.74
rs2027349	VPS45	VPS45_3_gene	PLEKHO1	0.0197	7.32	0.96	0.993
rs2027349	VPS45	VPS45_3_gene	ANP32E	0.338	7.68	0.435	0.957
rs2027349	VPS45	VPS45_3_gene	APH1A	-0.26	7.55	0.438	0.957
rs2027349	VPS45	VPS45_3_gene	MRPS21	0.0745	8.83	0.768	0.983
rs2027349	VPS45	VPS45_3_gene	PRPF3	0.386	6.61	0.519	0.964
rs2027349	VPS45	VPS45_3_gene	MCL1	-0.433	7.29	0.267	0.925
rs2027349	VPS45	VPS45_3_gene	SETDB1	0.941	6.5	0.227	0.925
rs2027349	VPS45	VPS45_3_gene	CERS2	0.249	6.95	0.638	0.978
rs2027349	VPS45	VPS45_3_gene	CDC42SE1	0.524	6.72	0.396	0.953
rs2027349	VPS45	VPS45_3_gene	MLLT11	-0.343	8.64	0.354	0.945
rs186132169	NGEF	NGEF_1_gene	EIF4E2	0.13	7.57	0.706	0.997
rs186132169	NGEF	NGEF_1_gene	GIGYF2	-0.596	6.86	0.165	0.997
rs186132169	NGEF	NGEF_1_gene	HJURP	-1.15	6.69	0.0171	0.964
rs186132169	NGEF	NGEF_2_gene	EIF4E2	0.322	7.57	0.663	0.979
rs186132169	NGEF	NGEF_2_gene	GIGYF2	-1.13	6.85	0.191	0.979
rs186132169	NGEF	NGEF_2_gene	HJURP	-1.95	6.66	0.00999	0.973
rs9661794	DPYD	DPYD_1_gene	SNX7	0.343	6.62	0.263	0.839
rs9661794	DPYD	DPYD_2_gene	SNX7	-0.186	6.68	0.432	0.996
rs9661794	DPYD	DPYD_3_gene	SNX7	-0.0438	6.69	0.902	0.999
rs7936858	LOC100507431	LOC100507431_1_gene	NTM	-0.00449	7.43	0.987	0.999
rs7936858	LOC100507431	LOC100507431_1_gene	NFRKB	-0.0321	6.71	0.984	0.999
rs7936858	LOC100507431	LOC100507431_1_gene	APLP2	-0.309	7.46	0.26	0.997
rs7936858	LOC100507431	LOC100507431_2_gene	NTM	-0.183	7.45	0.397	0.939
rs7936858	LOC100507431	LOC100507431_2_gene	NFRKB	0.211	6.7	0.505	0.954
rs7936858	LOC100507431	LOC100507431_2_gene	APLP2	-0.0133	7.44	0.948	0.992
rs7936858	LOC100507431	LOC100507431_3_gene	NTM	0.0421	7.38	0.808	0.992
rs7936858	LOC100507431	LOC100507431_3_gene	NFRKB	0.0474	6.66	0.843	0.994
rs7936858	LOC100507431	LOC100507431_3_gene	APLP2	-0.0407	7.41	0.809	0.992
rs3861678	LINC00637	LINC00637_1_gene	EIF5	-0.154	8.89	0.267	0.969
rs3861678	LINC00637	LINC00637_1_gene	TRAF3	0.393	6.48	0.229	0.969
rs3861678	LINC00637	LINC00637_1_gene	CDC42BPB	0.468	6.54	0.144	0.962
rs3861678	LINC00637	LINC00637_1_gene	MARK3	-0.049	6.94	0.842	0.995
rs3861678	LINC00637	LINC00637_1_gene	AKT1	-0.372	6.59	0.183	0.969
rs3861678	LINC00637	LINC00637_1_gene	CKB	-0.033	10.9	0.818	0.994
rs3861678	LINC00637	LINC00637_1_gene	TRMT61A	-0.439	6.64	0.0928	0.962
rs3861678	LINC00637	LINC00637_1_gene	BAG5	-0.265	6.6	0.354	0.969
rs3861678	LINC00637	LINC00637_1_gene	APOPT1	-0.322	7.28	0.101	0.962
rs3861678	LINC00637	LINC00637_1_gene	KLC1	0.0048	7.29	0.976	0.997
rs3861678	LINC00637	LINC00637_1_gene	ZFYVE21	-0.271	6.81	0.283	0.969
rs3861678	LINC00637	LINC00637_1_gene	TMEM179	0.359	6.84	0.164	0.962
rs3861678	LINC00637	LINC00637_1_gene	SIVA1	0.232	8.59	0.103	0.962
rs3861678	LINC00637	LINC00637_2_gene	EIF5	0.258	8.81	0.1	0.999
rs3861678	LINC00637	LINC00637_2_gene	TRAF3	-0.195	6.52	0.554	0.999
rs3861678	LINC00637	LINC00637_2_gene	CDC42BPB	0.0678	6.57	0.966	0.999
rs3861678	LINC00637	LINC00637_2_gene	MARK3	-0.27	6.96	0.324	0.999
rs3861678	LINC00637	LINC00637_2_gene	AKT1	0.302	6.55	0.391	0.999
rs3861678	LINC00637	LINC00637_2_gene	CKB	-0.0773	10.9	0.646	0.999
rs3861678	LINC00637	LINC00637_2_gene	TRMT61A	-0.606	6.65	0.0506	0.999
rs3861678	LINC00637	LINC00637_2_gene	BAG5	0.134	6.58	0.7	0.999
rs3861678	LINC00637	LINC00637_2_gene	APOPT1	0.0151	7.23	0.948	0.999
rs3861678	LINC00637	LINC00637_2_gene	KLC1	0.29	7.26	0.227	0.999
rs3861678	LINC00637	LINC00637_2_gene	ZFYVE21	-0.0665	6.8	0.823	0.999
rs3861678	LINC00637	LINC00637_2_gene	TMEM179	0.0318	6.89	0.908	0.999
rs3861678	LINC00637	LINC00637_2_gene	SIVA1	-0.156	8.67	0.321	0.999
rs3861678	LINC00637	LINC00637_3_gene	EIF5	-0.263	8.93	0.037	0.965
rs3861678	LINC00637	LINC00637_3_gene	TRAF3	0.245	6.46	0.446	0.98
rs3861678	LINC00637	LINC00637_3_gene	CDC42BPB	-0.312	6.58	0.231	0.965
rs3861678	LINC00637	LINC00637_3_gene	MARK3	-0.263	6.95	0.225	0.965
rs3861678	LINC00637	LINC00637_3_gene	AKT1	0.0208	6.54	0.937	0.998
rs3861678	LINC00637	LINC00637_3_gene	CKB	0.41	10.7	0.00385	0.725
rs3861678	LINC00637	LINC00637_3_gene	TRMT61A	-0.481	6.63	0.0592	0.965
rs3861678	LINC00637	LINC00637_3_gene	BAG5	0.00582	6.56	0.993	0.999
rs3861678	LINC00637	LINC00637_3_gene	APOPT1	-0.0236	7.21	0.896	0.995
rs3861678	LINC00637	LINC00637_3_gene	KLC1	-0.125	7.29	0.502	0.985
rs3861678	LINC00637	LINC00637_3_gene	ZFYVE21	-0.243	6.79	0.312	0.979
rs3861678	LINC00637	LINC00637_3_gene	TMEM179	0.0938	6.85	0.674	0.987
rs3861678	LINC00637	LINC00637_3_gene	SIVA1	0.0598	8.62	0.656	0.985
rs10933	PBRM1	PBRM1_1_gene	POC1A	-1.35	6.78	0.0357	0.89
rs10933	PBRM1	PBRM1_1_gene	WDR82	0.478	6.91	0.535	0.987
rs10933	PBRM1	PBRM1_1_gene	NT5DC2	-0.261	7.32	0.669	0.987
rs10933	PBRM1	PBRM1_1_gene	PBRM1	1.7	6.88	0.128	0.981
rs10933	PBRM1	PBRM1_1_gene	DCP1A	-1.12	7.03	0.049	0.894
rs10933	PBRM1	PBRM1_1_gene	TEX264	1.2	6.71	0.24	0.987
rs10933	PBRM1	PBRM1_1_gene	RRP9	-0.398	6.99	0.554	0.987
rs10933	PBRM1	PBRM1_1_gene	PCBP4	0.239	8.06	0.69	0.987
rs10933	PBRM1	PBRM1_1_gene	ABHD14A	-1.06	6.71	0.144	0.987
rs10933	PBRM1	PBRM1_1_gene	RPL29	0.0885	12.1	0.697	0.987
rs10933	PBRM1	PBRM1_1_gene	ALAS1	2.64	6.66	0.0236	0.863
rs10933	PBRM1	PBRM1_1_gene	TWF2	-0.726	6.74	0.305	0.987
rs10933	PBRM1	PBRM1_1_gene	BAP1	2.34	6.58	0.0568	0.91
rs10933	PBRM1	PBRM1_1_gene	NISCH	0.0711	6.61	0.932	0.999
rs10933	PBRM1	PBRM1_1_gene	SMIM4	-0.401	6.94	0.561	0.987
rs10933	PBRM1	PBRM1_1_gene	GNL3	-0.233	7.6	0.618	0.987
rs10933	PBRM1	PBRM1_1_gene	GLT8D1	0.668	6.81	0.449	0.987
rs10933	PBRM1	PBRM1_1_gene	SPCS1	-0.0351	8.36	0.926	0.999
rs10933	PBRM1	PBRM1_1_gene	RFT1	-0.306	6.65	0.703	0.987
rs10933	PBRM1	PBRM1_1_gene	TKT	0.713	8.98	0.192	0.987
rs10933	PBRM1	PBRM1_2_gene	POC1A	0.0648	6.74	0.892	0.997
rs10933	PBRM1	PBRM1_2_gene	WDR82	-0.436	6.92	0.251	0.997
rs10933	PBRM1	PBRM1_2_gene	NT5DC2	0.0274	7.3	0.936	0.997
rs10933	PBRM1	PBRM1_2_gene	PBRM1	0.864	6.85	0.0942	0.997
rs10933	PBRM1	PBRM1_2_gene	DCP1A	-0.173	7	0.651	0.997
rs10933	PBRM1	PBRM1_2_gene	TEX264	-0.202	6.71	0.657	0.997
rs10933	PBRM1	PBRM1_2_gene	RRP9	-0.261	6.98	0.518	0.997
rs10933	PBRM1	PBRM1_2_gene	PCBP4	0.0173	8.05	0.956	0.997
rs10933	PBRM1	PBRM1_2_gene	ABHD14A	0.312	6.67	0.515	0.997
rs10933	PBRM1	PBRM1_2_gene	RPL29	-0.219	12.1	0.0927	0.997
rs10933	PBRM1	PBRM1_2_gene	ALAS1	0.595	6.64	0.243	0.997
rs10933	PBRM1	PBRM1_2_gene	TWF2	-0.258	6.72	0.547	0.997
rs10933	PBRM1	PBRM1_2_gene	BAP1	1.16	6.55	0.054	0.997
rs10933	PBRM1	PBRM1_2_gene	NISCH	-0.151	6.6	0.745	0.997
rs10933	PBRM1	PBRM1_2_gene	SMIM4	-0.147	6.92	0.72	0.997
rs10933	PBRM1	PBRM1_2_gene	GNL3	-0.0652	7.58	0.814	0.997
rs10933	PBRM1	PBRM1_2_gene	GLT8D1	0.225	6.79	0.627	0.997
rs10933	PBRM1	PBRM1_2_gene	SPCS1	0.0226	8.35	0.912	0.997
rs10933	PBRM1	PBRM1_2_gene	RFT1	-0.128	6.64	0.773	0.997
rs10933	PBRM1	PBRM1_2_gene	TKT	0.119	8.97	0.669	0.997
rs10933	PBRM1	PBRM1_3_gene	POC1A	1.27	6.74	0.226	0.814
rs10933	PBRM1	PBRM1_3_gene	WDR82	0.953	6.9	0.262	0.837
rs10933	PBRM1	PBRM1_3_gene	NT5DC2	1.78	7.29	0.0472	0.653
rs10933	PBRM1	PBRM1_3_gene	PBRM1	0.903	6.88	0.323	0.86
rs10933	PBRM1	PBRM1_3_gene	DCP1A	0.681	6.99	0.368	0.875
rs10933	PBRM1	PBRM1_3_gene	TEX264	-0.0584	6.71	0.94	0.988
rs10933	PBRM1	PBRM1_3_gene	RRP9	-0.0134	6.98	0.986	0.996
rs10933	PBRM1	PBRM1_3_gene	PCBP4	1.37	8.04	0.0768	0.718
rs10933	PBRM1	PBRM1_3_gene	ABHD14A	-0.524	6.7	0.471	0.916
rs10933	PBRM1	PBRM1_3_gene	RPL29	-0.196	12.1	0.365	0.874
rs10933	PBRM1	PBRM1_3_gene	ALAS1	0.245	6.66	0.773	0.962
rs10933	PBRM1	PBRM1_3_gene	TWF2	1.2	6.72	0.224	0.813
rs10933	PBRM1	PBRM1_3_gene	BAP1	-0.907	6.59	0.213	0.81
rs10933	PBRM1	PBRM1_3_gene	NISCH	0.798	6.6	0.402	0.883
rs10933	PBRM1	PBRM1_3_gene	SMIM4	0.5	6.92	0.527	0.928
rs10933	PBRM1	PBRM1_3_gene	GNL3	1.41	7.56	0.0265	0.594
rs10933	PBRM1	PBRM1_3_gene	GLT8D1	-0.176	6.81	0.82	0.968
rs10933	PBRM1	PBRM1_3_gene	SPCS1	-0.0828	8.36	0.821	0.968
rs10933	PBRM1	PBRM1_3_gene	RFT1	0.93	6.64	0.33	0.861
rs10933	PBRM1	PBRM1_3_gene	TKT	0.622	8.98	0.235	0.819
rs6071578	PPP1R16B	PPP1R16B_1_gene	CTNNBL1	-0.014	7.15	0.942	0.996
rs6071578	PPP1R16B	PPP1R16B_1_gene	TTI1	0.252	6.42	0.424	0.981
rs6071578	PPP1R16B	PPP1R16B_1_gene	SNHG11	-0.23	6.8	0.345	0.973
rs6071578	PPP1R16B	PPP1R16B_1_gene	FAM83D	0.0287	6.53	0.927	0.996
rs6071578	PPP1R16B	PPP1R16B_2_gene	CTNNBL1	0.129	7.15	0.586	0.998
rs6071578	PPP1R16B	PPP1R16B_2_gene	TTI1	-0.287	6.47	0.41	0.998
rs6071578	PPP1R16B	PPP1R16B_2_gene	SNHG11	-0.203	6.81	0.462	0.998
rs6071578	PPP1R16B	PPP1R16B_2_gene	FAM83D	-0.453	6.58	0.194	0.998
rs6071578	PPP1R16B	PPP1R16B_3_gene	CTNNBL1	0.0149	7.18	0.944	0.997
rs6071578	PPP1R16B	PPP1R16B_3_gene	TTI1	-0.0437	6.48	0.885	0.994
rs6071578	PPP1R16B	PPP1R16B_3_gene	SNHG11	0.108	6.81	0.689	0.993
rs6071578	PPP1R16B	PPP1R16B_3_gene	FAM83D	1.56	6.52	0.000475	0.623
